id;name;description;lat;lon;created_by_id
1;dynamic New Mexico;bottom-line quantifying;29151;21847;2
2;auxiliary;Berkshire;6839;96315;1
3;Uzbekistan District Congolese Franc;relationships vertical;78973;5794;1
4;channels Georgia;Stand-alone content-based;38257;10085;2
5;maroon;Sleek Bike;97287;61588;1
6;Awesome Frozen Bacon projection redundant;copying;37660;50720;2
7;deploy pricing structure;Cambridgeshire architectures hack;73003;73326;1
8;Tasty Wooden Cheese;Grove Rubber e-services;25413;42883;1
9;Factors bandwidth;copying Credit Card Account sky blue;90500;63522;1
10;Arizona Handmade Rubber Mouse Shoes;Gorgeous Concrete Cheese Savings Account Direct;38698;58341;1
